T20200014744,B,2017,2,SW,1,Paved,V,SEDAN ,MAZDA ,3 NEO ,,1,Car,,R,P,4,4,5,1260,2,,,SW,1,15,H,BLK,ZZ ,2,R,9,5,3058,1,1,Stop-go lights
T20200014744,C,2007,1,SW,1,Paved,V,SEDAN ,MAZDA ,3,,1,Car,,R,P,4,4,5,1239,1,,,SW,1,6,H,BLK,ZZ ,2,F,2,5,3048,1,1,Stop-go lights
T20200014745,A,1997,1,SW,1,Paved,V,SEDAN ,TOYOTA,CORROL,,1,Car,,R,P,4,4,5,1250,1,,,SW,1,18,H,BLU,ZZ ,2,F,2,5,3941,1,0,No control
T20200014752,A,2013,1,SW,1,Paved,V,COUPE ,HYNDAI,I20   ,,1,Car,,R,P,4,4,5,1149,1,,,SW,1,1,H,RED,ZZ ,2,5,2,1,3030,2,0,No control
T20200014752,B,2019,1,SW,1,Paved,V,WAGON ,MITSUB,ECLIPS,,2,Station Wagon,,R,P,4,4,5,1465,1,,,SW,6,6,H,RED,ZZ ,2,1,2,1,3029,2,0,No control
T20200014753,A,2016,1,S ,1,Paved,V,WAGON ,MAZDA ,CX9   ,,2,Station Wagon,2575,R,P,4,4,7,1865,2,710,,SE,2,2,H,GRY,ZZ ,2,1,2,4,3083,1,10,Stop sign
T20200014753,B,2001,2,E ,1,Paved,V,SEDAN ,SUBARU,IMPREZ,,1,Car,,R,P,4,4,5,1320,1,,,SE,1,1,H,WHI,ZZ ,2,5,2,4,3107,1,0,No control
T20200014758,A,2008,2,SW,1,Paved,V,SEDAN ,SUZUKI,SWIFT ,,1,Car,,R,P,4,4,5,1100,1,,,S ,3,17,H,BLU,ZZ ,2,R,2,2,3134,2,0,No control
T20200014758,B,2001,1,SW,1,Paved,V,WAGON ,MAZDA ,TRIBUT,,2,Station Wagon,,R,P,4,6,5,1555,1,,,SW,1,1,H,SIL,ZZ ,2,F,2,9,3337,2,0,No control
T20200014762,A,2007,2,NW,1,Paved,V,SEDAN ,MITSUB,LANCER,,1,Car,,R,P,4,4,5,1050,1,,,NW,1,1,H,SIL,ZZ ,2,F,2,2,3020,2,1,Stop-go lights
T20200014762,B,0,1,SE,1,Paved, ,      ,      ,      ,,13,Bicycle,, , ,,,,0,1,,,S ,2,2,H,ZZ ,ZZ ,0,5,2,1,,2,1,Stop-go lights
T20200014771,A,2016,1,N ,1,Paved,V,SEDAN ,NISSAN,PULSAR,,1,Car,,R,P,4,4,5,1254,1,,,N ,1,1,H,WHI,ZZ ,2,F,2,5,3029,1,0,No control
T20200014771,B,2014,2,N ,1,Paved,V,WAGON ,AUDI  ,Q7    ,,2,Station Wagon,2992,R,D,4,6,7,2295,0,697,,N ,11,11,H,GRY,ZZ ,2,R,2,4,3030,1,0,No control
T20200014771,C,2008,8,N ,1,Paved,V,WAGON ,VOLKS ,TIGUAN,,2,Station Wagon,,R,D,4,4,5,1610,0,,"2,000",N ,11,11,H,BLK,ZZ ,2,R,2,4,3056,1,0,No control
T20200014771,D,2002,8,N ,1,Paved,V,T SDS ,FORD  ,COURIE,,71,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,2730,R,D,4,4,3,1400,0,1330,"2,500",N ,11,11,H,WHI,SIL,2,R,2,1,3030,2,0,No control
T20200014776,A,2008,2,N ,3,Gravel,V,S WAG ,HOLDEN,COMMOD,,2,Station Wagon,,R,P,4,6,5,1500,1,,,N ,1,15,H,GRN,ZZ ,2,R,9,6,3630,2,1,Stop-go lights
T20200014776,B,2010,1,N ,3,Gravel,V,SEDAN ,BENT  ,CONTI ,,1,Car,,R,P,4,12,4,2290,1,,,N ,1,1,H,BLK,ZZ ,2,F,2,1,3036,2,1,Stop-go lights
T20200014778,A,2017,2,SW,1,Paved,V,WAGON ,HOLDEN,TRAILB,,2,Station Wagon,,R,D,4,4,7,2147,1,,,SW,3,15,H,WHI,ZZ ,2,R,2,1,3197,2,11,Giveway sign
T20200014778,B,2018,1,SW,1,Paved,V,DC UTE,TOYOTA,HILUX ,,4,Utility,2930,R,D,4,4,5,1900,1,1030,,SW,3,3,H,WHI,ZZ ,2,F,2,2,5033,2,11,Giveway sign
T20200014780,A,2013,2,SE,1,Paved,V,SEDAN ,MAZDA ,2 NEO ,,1,Car,,R,P,4,4,5,995,0,,,S ,11,11,H,GRY,ZZ ,2,1,2,3,3978,1,0,No control
T20200014780,B,2015,1,NW,1,Paved,V,WAGON ,JEEP  ,CHEROK,,2,Station Wagon,2949,R,P,4,6,5,2084,1,865,,N ,1,18,H,BLK,ZZ ,2,1,9,4,3978,1,0,No control
T20200014789,A,2017,1,W ,1,Paved,V,WAGON ,B M W ,X5    ,,2,Station Wagon,,R,D,4,6,5,2008,1,,,S ,3,3,H,WHI,ZZ ,2,F,2,6,3128,2,1,Stop-go lights
T20200014791,A,2005,2,N ,9,Unknown,V,SEDAN ,HOLDEN,ASTRA ,,1,Car,,R,P,4,4,5,1200,1,,,N ,1,15,H,BLU,ZZ ,2,R,2,6,3216,2,1,Stop-go lights
T20200014791,B,2014,1,N ,9,Unknown,V,SEDAN ,FORD  ,FOCUS ,,1,Car,,R,P,4,4,5,1000,1,,,N ,1,1,H,WHI,ZZ ,2,F,2,6,3219,9,1,Stop-go lights
T20200014795,A,2014,2,E ,1,Paved,V,SEDAN ,VOLKS ,POLO  ,,1,Car,,R,P,4,4,5,1080,1,,,N ,3,3,H,RED,ZZ ,2,R,9,9,3153,2,11,Giveway sign
T20200014795,B,2005,1,E ,1,Paved,V,SEDAN ,HONDA ,ACCORD,,1,Car,,R,P,4,4,5,1200,1,,,N ,3,1,H,GRY,ZZ ,2,F,9,9,3150,2,11,Giveway sign
T20200014797,A,2020,1,E ,1,Paved,V,WAGON ,TOYOTA,RAV4  ,,2,Station Wagon,,R,P,4,4,5,1695,1,,,S ,2,2,H,WHI,ZZ ,2,1,2,1,3337,2,11,Giveway sign
T20200014797,B,0,2,N ,1,Paved, ,      ,      ,      ,,13,Bicycle,, , ,,,,0,1,,,N ,1,1,H,ZZ ,ZZ ,0,F,2,1,,2,0,No control
T20200014801,A,1984,2,N ,1,Paved,V,S WAG ,TOYOTA,      ,,2,Station Wagon,, ,Z,,,6,0,1,,,N ,17,15,H,WHI,ZZ ,2,R,9,1,3953,9,1,Stop-go lights
