ACCIDENT_NO,NODE_ID,NODE_TYPE,VICGRID94_X,VICGRID94_Y,LGA_NAME,LGA_NAME_ALL,REGION_NAME,DEG_URBAN_NAME,Lat,Long,POSTCODE_NO,ACCIDENTDATE,ACCIDENTTIME,ACCIDENT_TYPE,Accident Type Desc,DAY_OF_WEEK,Day Week Description,DCA_CODE,DCA Description,DIRECTORY,EDITION,PAGE,GRID_REFERENCE_X,GRID_REFERENCE_Y,LIGHT_CONDITION,Light Condition Desc,NODE_ID,NO_OF_VEHICLES,NO_PERSONS,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_KILLED,NO_PERSONS_NOT_INJ,POLICE_ATTEND,ROAD_GEOMETRY,Road Geometry Desc,SEVERITY,SPEED_ZONE
T20060000094,205208,N,2601540.338,2363475.691,BAW BAW,BAW BAW,EASTERN REGION,RURAL_VICTORIA,-38.22459012,146.1595542,3824,16/1/06,16:15:00,1,Collision with vehicle,2,Monday,131,LEFT REAR                          ,MEL,40,91A,E,5,1,Day,102361,2,4,0,1,0,3,2,5,Not at intersection,3,60
T20060000095,102361,N,2518810.759,2390673.981,DANDENONG,DANDENONG,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.98494596,145.2141238,3175,17/1/06,13:30:00,1,Collision with vehicle,3,Tuesday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD    ,MEL,40,207,G,2,1,Day,205194,2,1,0,1,0,0,2,5,Not at intersection,3,50
T20060000096,205194,N,2476906.478,2402312.094,WYNDHAM,WYNDHAM,METROPOLITAN NORTH WEST REGION,MELB_URBAN,-37.87999522,144.7374909,3030,17/1/06,18:30:00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,MEL,40,151,K,5,1,Day,1026,1,4,0,3,0,1,1,2,T intersection,3,100
T20060000105,1026,I,2505513.564,2357254.803,MORNINGTON PENINSULA,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,RURAL_VICTORIA,-38.28618272,145.0630131,3915,17/1/06,22:30:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH                        ,MEL,40,90,J,3,3,Dark Street lights on,10473,2,2,2,0,0,0,1,4,Multiple intersection,2,80
T20060000111,10473,N,2520735.997,2392069.31,CASEY,CASEY,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.97233393,145.2359994,3177,18/1/06,7:25:00,1,Collision with vehicle,4,Wednesday,136,RIGHT TURN SIDESWIPE                    ,MEL,40,100,A,6,1,Day,26114,2,3,1,1,0,1,1,5,Not at intersection,2,110
T20060000114,26114,N,2513578.151,2376305.137,FRANKSTON,FRANKSTON,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.11448709,145.1548269,3198,18/1/06,9:15:00,4,Collision with a fixed object,4,Wednesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,MEL,40,91,E,9,1,Day,203244,1,1,1,0,0,0,1,5,Not at intersection,2,100
T20060000114,26114,N,2513578.151,2376305.137,FRANKSTON,FRANKSTON,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.11448709,145.1548269,3200,18/1/06,8:10:00,5,collision with some other object,4,Wednesday,165,TEMPORARY ROADWORKS                     ,MEL,40,98,F,12,1,Day,203246,1,1,1,0,0,0,1,5,Not at intersection,2,70
T20060000116,203244,N,2523001.448,2389642.714,CASEY,CASEY,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.99414258,145.2618586,3802,14/1/06,19:30:00,1,Collision with vehicle,7,Saturday,135,LANE CHANGE LEFT (NOT OVERTAKING)              ,MEL,40,89,E,1,1,Day,42918,2,5,0,1,0,4,1,1,Cross intersection,3,60
T20060000119,203246,N,2515643.928,2378749.914,FRANKSTON,FRANKSTON,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.09242996,145.1783299,3201,17/1/06,18:13:00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,VCS,9,689,N,4,1,Day,44566,2,5,2,0,0,3,1,1,Cross intersection,2,80
T20060000126,42918,I,2515230.194,2392893.172,DANDENONG,DANDENONG,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.96501806,145.1733201,3174,17/1/06,19:00:00,6,Vehicle overturned (no collision),3,Tuesday,170,OFF CARRIAGEWAY TO LEFT                   ,VCS,9,50,J,9,1,Day,203251,1,1,1,0,0,0,1,5,Not at intersection,2,100
T20060000130,44566,I,2733176.496,2406985.338,EAST GIPPSLAND,EAST GIPPSLAND,EASTERN REGION,RURAL_VICTORIA,-37.80895163,147.6484134,3875,18/1/06,16:30:00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH                        ,MEL,40,193,J,1,1,Day,1151,2,3,1,1,0,1,1,2,T intersection,3,90
T20060000132,203251,N,2720173.508,2502235.79,EAST GIPPSLAND,EAST GIPPSLAND,EASTERN REGION,RURAL_VICTORIA,-36.95407987,147.4727016,3898,18/1/06,18:35:00,6,Vehicle overturned (no collision),4,Wednesday,170,OFF CARRIAGEWAY TO LEFT                   ,MEL,40,100,C,2,1,Day,55550,1,2,1,1,0,0,1,2,T intersection,2,75
T20060000133,1151,I,2512746.074,2349012.675,MORNINGTON PENINSULA,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.36035438,145.1458157,3918,18/1/06,19:55:00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH                        ,MEL,40,90,B,1,1,Day,43006,2,2,0,1,0,1,1,2,T intersection,3,50
T20060000134,55550,I,2514287.036,2378115.08,FRANKSTON,FRANKSTON,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.09817099,145.1628747,3201,19/1/06,1:10:00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,VCS,9,699,P,6,3,Dark Street lights on,52271,2,2,1,0,0,1,1,1,Cross intersection,2,50
T20060000135,43006,I,2518091.308,2392954.289,DANDENONG,DANDENONG,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.96441609,145.2058781,3175,19/1/06,9:00:00,6,Vehicle overturned (no collision),5,Thursday,172,OFF CARRIAGEWAY TO RIGHT                  ,VCS,9,102,D,3,1,Day,203259,1,1,0,1,0,0,1,5,Not at intersection,3,100
T20060000141,52271,I,2624030.818,2362141.303,LATROBE,LATROBE,EASTERN REGION,SMALL_CITIES,-38.2338684,146.4165797,3840,7/1/06,7:00:00,1,Collision with vehicle,7,Saturday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,102,G,10,1,Day,33468,2,3,0,1,0,2,1,1,Cross intersection,3,80
T20060000157,203259,N,2557607.565,2320352.732,BASS COAST,BASS COAST,EASTERN REGION,RURAL_VICTORIA,-38.61677635,145.6613006,3996,19/1/06,13:15:00,1,Collision with vehicle,5,Thursday,113,RIGHT NEAR (INTERSECTIONS ONLY)               ,MEL,40,103,B,5,1,Day,43531,2,6,2,0,0,4,1,2,T intersection,2,80
T20060000158,33468,I,2512178.323,2369730.697,FRANKSTON,FRANKSTON,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.17373329,145.1389746,3199,18/1/06,15:45:00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE)               ,VCS,9,696,H,6,1,Day,29996,2,3,0,2,0,1,2,2,T intersection,3,60
T20060000192,43531,I,2514225.992,2371891.291,FRANKSTON,FRANKSTON,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.1542403,145.1622998,3199,19/1/06,16:05:00,1,Collision with vehicle,5,Thursday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,MEL,40,110,E,9,1,Day,37019,2,2,1,0,0,1,1,2,T intersection,2,50
T20060000198,29996,I,2634704.71,2365938.026,LATROBE,LATROBE,EASTERN REGION,SMALL_CITIES,-38.19817856,146.5377675,3844,13/1/06,17:00:00,1,Collision with vehicle,6,Friday,142,LEAVING PARKING                       ,MEL,40,484,B,10,1,Day,50283,2,2,0,1,0,1,2,2,T intersection,3,60
T20060000201,37019,I,2526752.337,2384680.943,CASEY,CASEY,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.03874353,145.304741,3805,19/1/06,17:45:00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH                        ,MEL,40,110,E,7,1,Day,43632,2,4,0,1,0,1,1,1,Cross intersection,2,50
T20060000202,50283,I,2459285.5,2359931.295,GEELONG,GEELONG,SOUTH WESTERN REGION,SMALL_CITIES,-38.26119325,144.5348379,3226,19/1/06,20:23:00,1,Collision with vehicle,4,Thursday,111,RIGHT FAR (INTERSECTIONS ONLY)               ,VCS,9,687,N,2,1,Day,324771,2,2,0,1,0,1,1,2,T intersection,3,50
T20060000206,43632,I,2526860.698,2385508.704,CASEY,CASEY,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.03128302,145.305945,3805,19/1/06,18:15:00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,VCS,9,713,R,7,1,Day,15514,3,5,0,2,0,3,1,1,Cross intersection,3,60
T20060000213,324771,N,2765875.607,2399818.988,EAST GIPPSLAND,EAST GIPPSLAND,EASTERN REGION,TOWNS,-37.86471848,148.0221583,3909,20/1/06,13:00:00,2,Struck Pedestrian,6,Friday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,MEL,40,91A,E,5,1,Day,203264,1,4,1,0,0,3,1,5,Not at intersection,2,60
T20060000226,15514,I,2551652.658,2320911.643,BASS COAST,BASS COAST,EASTERN REGION,TOWNS,-38.6120961,145.5929037,3995,20/1/06,13:40:00,1,Collision with vehicle,6,Friday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,2M,D,10,1,Day,203265,4,4,1,0,0,3,1,5,Not at intersection,2,40
T20060000242,203264,N,2518905.284,2390671.999,DANDENONG,DANDENONG,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.98496189,145.2151998,3175,19/1/06,7:10:00,1,Collision with vehicle,5,Thursday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD    ,MEL,40,95,J,8,1,Day,205498,2,1,0,1,0,0,1,5,Not at intersection,2,50
T20060000243,203265,N,2500507.011,2405846.7,STONNINGTON,STONNINGTON,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.84843568,145.0057609,3142,20/1/06,10:28:00,6,Vehicle overturned (no collision),6,Friday,180,OFF CARRIAGEWAY ON RIGHT BEND                ,VCS,9,20,H,6,1,Day,203267,1,1,1,0,0,0,1,5,Not at intersection,2,100
T20060000243,203265,N,2500507.011,2405846.7,STONNINGTON,STONNINGTON,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.84843568,145.0057609,3181,20/1/06,22:10:00,4,Collision with a fixed object,6,Friday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,,,,,,5,Dark No street lights,-10,1,4,0,4,0,0,2,5,Not at intersection,3,100
T20060000245,205498,N,2520757.041,2385222.257,DANDENONG,DANDENONG,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.03402029,145.2364324,3175,20/1/06,20:45:00,4,Collision with a fixed object,6,Friday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,MEL,40,212,J,1,2,Dusk/Dawn,202769,1,1,0,1,0,0,1,5,Not at intersection,3,60
T20060000253,203267,N,2405641.055,2631318.061,GANNAWARRA,GANNAWARRA,NORTHERN REGION,RURAL_VICTORIA,-35.81183992,143.9559891,3579,12/1/06,16:30:00,1,Collision with vehicle,5,Thursday,113,RIGHT NEAR (INTERSECTIONS ONLY)               ,MEL,40,59,B,10,1,Day,57525,2,2,1,0,0,1,2,4,Multiple intersection,2,70
T20060000270,202769,N,2536374.343,2388268.899,CARDINIA,CARDINIA,METROPOLITAN SOUTH EAST REGION,TOWNS,-38.00609184,145.4141681,3808,21/1/06,5:15:00,4,Collision with a fixed object,7,Saturday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE      ,VCS,9,712,G,2,3,Dark Street lights on,209205,1,2,2,0,0,0,1,5,Not at intersection,2,50
