ACCIDENT_NO,NODE_ID,NODE_TYPE,VICGRID94_X,VICGRID94_Y,LGA_NAME,LGA_NAME_ALL,REGION_NAME,DEG_URBAN_NAME,Lat,Long,POSTCODE_NO,ACCIDENTDATE,ACCIDENTTIME,ACCIDENT_TYPE,Accident Type Desc,DAY_OF_WEEK,Day Week Description,DCA_CODE,DCA Description,DIRECTORY,EDITION,PAGE,GRID_REFERENCE_X,GRID_REFERENCE_Y,LIGHT_CONDITION,Light Condition Desc,NODE_ID,NO_OF_VEHICLES,NO_PERSONS,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_KILLED,NO_PERSONS_NOT_INJ,POLICE_ATTEND,ROAD_GEOMETRY,Road Geometry Desc,SEVERITY,SPEED_ZONE
T20060001006,29836,I,2478062.392,2410016.595,WYNDHAM,WYNDHAM,METROPOLITAN NORTH WEST REGION,RURAL_VICTORIA,-37.81060649,144.7508595,3029,4/2/06,6:13:00,4,Collision with a fixed object,7,Saturday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,MEL,40,206,D,5,1,Day,57550,1,1,0,1,0,0,1,5,Not at intersection,3,70
T20060001008,202813,N,2561940.979,2404994.704,YARRA RANGES,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,RURAL_VICTORIA,-37.85404912,145.7038602,3797,4/2/06,13:40:00,4,Collision with a fixed object,7,Saturday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE      ,MEL,40,106,D,4,1,Day,29883,1,1,0,1,0,0,2,1,Cross intersection,3,60
T20060001010,36950,I,2479375.817,2422878.827,BRIMBANK,BRIMBANK,METROPOLITAN NORTH WEST REGION,MELB_URBAN,-37.69474474,144.7661346,3037,4/2/06,6:10:00,1,Collision with vehicle,7,Saturday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES)        ,MEL,40,2E,E,10,1,Day,205275,2,2,1,0,0,1,1,5,Not at intersection,2,100
T20060001011,202835,N,2518254.751,2383246.804,DANDENONG,DANDENONG,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.05186993,145.2079794,3175,4/2/06,23:00:00,4,Collision with a fixed object,7,Saturday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,MEL,40,55,E,1,3,Dark Street lights on,205276,1,1,0,1,0,0,1,5,Not at intersection,3,50
T20060001024,49720,N,2443575.25,2378678.617,GEELONG,GEELONG,SOUTH WESTERN REGION,LARGE_PROVINCIAL_CITIES,-38.09148706,144.3568006,3214,4/2/06,19:20:00,8,No collision and no object struck,7,Saturday,172,OFF CARRIAGEWAY TO RIGHT                  ,VCS,9,65,F,9,2,Dusk/Dawn,202851,1,1,1,0,0,0,1,5,Not at intersection,2,100
T20060001027,41514,I,2507095.039,2402547.789,STONNINGTON,STONNINGTON,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.87813145,145.0806488,3145,4/2/06,23:20:00,2,Struck Pedestrian,7,Saturday,104,PED WALKING WITH TRAFFIC                  ,MEL,40,493,H,10,5,Dark No street lights,205277,1,2,1,0,0,1,1,5,Not at intersection,2,100
T20060001031,205499,N,2485144.926,2403371.618,HOBSONS BAY,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,MELB_URBAN,-37.8706173,144.8311602,3018,4/2/06,23:00:00,6,Vehicle overturned (no collision),7,Saturday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT)         ,VCS,9,702,E,7,3,Dark Street lights on,55777,1,1,1,0,0,0,1,2,T intersection,2,50
T20060001035,205270,N,2470045.783,2399803.319,WYNDHAM,WYNDHAM,METROPOLITAN NORTH WEST REGION,MELB_URBAN,-37.90240273,144.6594024,3030,4/2/06,18:20:00,1,Collision with vehicle,7,Saturday,140,U TURN                           ,MEL,40,129,J,12,1,Day,1014,2,2,0,1,0,1,2,2,T intersection,3,50
T20060001038,46908,I,2485085.321,2413725.252,BRIMBANK,BRIMBANK,METROPOLITAN NORTH WEST REGION,MELB_URBAN,-37.7773302,144.8306921,3020,5/2/06,9:10:00,6,Vehicle overturned (no collision),1,Sunday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT)         ,MEL,40,493,H,10,1,Day,56324,2,2,1,0,0,1,1,2,T intersection,3,100
T20060001051,202838,N,2496280.961,2411250.411,MELBOURNE,MELBOURNE,METROPOLITAN NORTH WEST REGION,MELB_URBAN,-37.79974092,144.9577698,3000,5/2/06,11:45:00,1,Collision with vehicle,0,Sunday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,432,B,2,1,Day,49638,2,4,1,1,0,2,1,2,T intersection,2,90
T20060001051,202838,N,2496280.961,2411250.411,MELBOURNE,MELBOURNE,METROPOLITAN NORTH WEST REGION,MELB_URBAN,-37.79974092,144.9577698,3052,5/2/06,12:45:00,1,Collision with vehicle,1,Sunday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,67,D,4,1,Day,41124,2,2,1,0,0,1,1,1,Cross intersection,3,60
T20060001060,52961,I,2397429.201,2435601.238,BALLARAT,BALLARAT,WESTERN REGION,LARGE_PROVINCIAL_CITIES,-37.57469845,143.838726,3350,5/2/06,13:10:00,8,No collision and no object struck,1,Sunday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT)         ,VCS,9,103,A,3,1,Day,224326,1,1,0,1,0,0,1,5,Not at intersection,2,100
T20060001062,45973,I,2486165.072,2347189.451,MORNINGTON PENINSULA,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.37676143,144.8416931,3941,4/2/06,21:30:00,4,Collision with a fixed object,7,Saturday,146,REVERSING INTO FIXED OBJECT/PARKED VEHICLE         ,MEL,40,202,J,12,2,Dusk/Dawn,202853,1,3,0,2,0,1,1,5,Not at intersection,3,60
T20060001070,202843,N,2449711.13,2402300.074,GEELONG,GEELONG,SOUTH WESTERN REGION,RURAL_VICTORIA,-37.87903006,144.42836,3211,5/2/06,11:40:00,1,Collision with vehicle,1,Sunday,152,PULLING OUT (OVERTAKING)                  ,VCS,9,58,E,2,1,Day,52654,2,2,1,0,0,1,1,2,T intersection,2,80
T20060001072,202842,N,2731249.518,2405067.349,EAST GIPPSLAND,EAST GIPPSLAND,EASTERN REGION,SMALL_CITIES,-37.82670714,147.627139,3875,5/2/06,13:50:00,1,Collision with vehicle,1,Sunday,130,REAR END(VEHICLES IN SAME LANE)               ,VCS,9,97,D,2,1,Day,205508,2,2,2,0,0,0,1,5,Not at intersection,2,100
T20060001073,205272,N,2490340.285,2411216.613,MARIBYRNONG,MARIBYRNONG,METROPOLITAN NORTH WEST REGION,MELB_URBAN,-37.80000274,144.8903123,3011,5/2/06,14:40:00,1,Collision with vehicle,1,Sunday,121,RIGHT THROUGH                        ,MEL,40,142,F,5,1,Day,43951,2,6,0,2,0,4,1,2,T intersection,3,999
T20060001079,202814,N,2496442.459,2425141.631,HUME,HUME,METROPOLITAN NORTH WEST REGION,MELB_URBAN,-37.67457719,144.9596705,3061,18/1/06,15:10:00,4,Collision with a fixed object,4,Wednesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE      ,MEL,40,208,D,3,1,Day,205234,2,2,1,0,0,1,2,5,Not at intersection,2,50
T20060001085,205273,N,2498685.49,2402635.126,PORT PHILLIP,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,MELB_URBAN,-37.87737071,144.9850582,3184,5/2/06,17:15:00,1,Collision with vehicle,1,Sunday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,MEL,40,91A,E,5,1,Day,35619,2,2,1,0,0,1,1,1,Cross intersection,3,60
T20060001088,202846,N,2397721.703,2435040.818,BALLARAT,BALLARAT,WESTERN REGION,LARGE_PROVINCIAL_CITIES,-37.57978005,143.8419601,3350,5/2/06,1:25:00,2,Struck Pedestrian,1,Sunday,104,PED WALKING WITH TRAFFIC                  ,MEL,40,41,K,3,3,Dark Street lights on,55778,1,2,1,0,0,1,1,1,Cross intersection,2,50
T20060001091,201519,N,2471067.492,2399021.398,WYNDHAM,WYNDHAM,METROPOLITAN NORTH WEST REGION,MELB_URBAN,-37.90947992,144.670989,3030,30/1/06,7:35:00,1,Collision with vehicle,2,Monday,113,RIGHT NEAR (INTERSECTIONS ONLY)               ,MEL,40,102,K,4,1,Day,43517,2,2,1,0,0,1,2,2,T intersection,2,70
T20060001098,202848,N,2723515.726,2394201.995,EAST GIPPSLAND,EAST GIPPSLAND,EASTERN REGION,RURAL_VICTORIA,-37.92645746,147.5426168,3875,5/2/06,19:50:00,4,Collision with a fixed object,1,Sunday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE      ,MEL,40,102,E,6,2,Dusk/Dawn,202857,1,1,0,1,0,0,1,5,Not at intersection,3,50
T20060001099,205232,N,2525966.357,2384125.801,CASEY,CASEY,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.04376717,145.2958074,3805,5/2/06,18:40:00,4,Collision with a fixed object,1,Sunday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE          ,MEL,40,89,F,6,1,Day,205278,1,2,0,1,0,1,1,5,Not at intersection,3,50
T20060001100,55500,I,2427407.6,2382973.693,GOLDEN PLAINS,GOLDEN PLAINS,SOUTH WESTERN REGION,TOWNS,-38.05166921,144.1729352,3331,5/2/06,19:20:00,4,Collision with a fixed object,1,Sunday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE      ,VCS,9,97,H,5,1,Day,201520,1,1,0,0,1,0,1,5,Not at intersection,1,100
T20060001101,57550,I,2471868.834,2401108.866,WYNDHAM,WYNDHAM,METROPOLITAN NORTH WEST REGION,MELB_URBAN,-37.89069716,144.6801813,3030,6/2/06,0:30:00,4,Collision with a fixed object,2,Monday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE          ,MEL,40,190,E,12,5,Dark No street lights,205279,1,1,1,0,0,0,1,5,Not at intersection,3,80
T20060001103,29883,I,2510850.047,2367507.128,FRANKSTON,"MORNINGTON PENINSULA,FRANKSTON",METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.19378073,145.1238498,3199,5/2/06,22:50:00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,MEL,40,259,G,6,5,Dark No street lights,205280,1,2,2,0,0,0,1,5,Not at intersection,2,100
T20060001106,205275,N,2494865.733,2408370.47,MELBOURNE,MELBOURNE,METROPOLITAN NORTH WEST REGION,MELB_URBAN,-37.82568259,144.9416797,3008,19/1/06,17:15:00,1,Collision with vehicle,5,Thursday,113,RIGHT NEAR (INTERSECTIONS ONLY)               ,MEL,40,40,C,12,1,Day,38517,2,2,0,0,1,1,1,2,T intersection,1,70
T20060001108,205276,N,2487975.666,2407470.667,HOBSONS BAY,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,MELB_URBAN,-37.83372625,144.8634006,3025,6/2/06,8:40:00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,26,F,1,1,Day,36753,2,3,0,1,0,2,1,1,Cross intersection,3,50
T20060001111,202851,N,2700135.502,2448864.537,WELLINGTON,WELLINGTON,EASTERN REGION,RURAL_VICTORIA,-37.43939317,147.2619884,3862,21/1/06,1:50:00,4,Collision with a fixed object,7,Saturday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,VCS,9,32,E,9,5,Dark No street lights,201516,1,4,3,0,1,0,1,5,Not at intersection,1,80
T20060001112,205277,N,2442337.71,2355176.747,SURF COAST,SURF COAST,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.30311989,144.3408391,3228,24/1/06,18:45:00,1,Collision with vehicle,3,Tuesday,150,HEAD ON(OVERTAKING)                     ,VCS,9,92,A,6,1,Day,201564,3,4,1,0,2,1,1,5,Not at intersection,1,100
T20060001113,55777,I,2624467.726,2352261,LATROBE,LATROBE,EASTERN REGION,TOWNS,-38.32280152,146.4232559,3842,6/2/06,7:30:00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,360,K,7,2,Dusk/Dawn,29836,2,2,1,0,0,1,1,1,Cross intersection,2,60
T20060001120,1014,I,2524509.524,2378727.787,CASEY,CASEY,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.09243729,145.2793918,3977,4/2/06,10:20:00,1,Collision with vehicle,7,Saturday,121,RIGHT THROUGH                        ,VCS,9,699,P,6,9,Unknown,55501,2,2,0,1,0,1,2,2,T intersection,3,60
T20060001128,56324,I,2442342.31,2355206.913,SURF COAST,SURF COAST,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.30284845,144.340894,3228,6/2/06,11:00:00,1,Collision with vehicle,2,Monday,140,U TURN                           ,MEL,40,432,A,12,1,Day,49719,2,3,0,2,0,1,1,1,Cross intersection,2,80
T20060001132,49638,I,2443683.936,2382899.394,GEELONG,GEELONG,SOUTH WESTERN REGION,LARGE_PROVINCIAL_CITIES,-38.05346965,144.3583637,3214,25/1/06,16:15:00,4,Collision with a fixed object,4,Wednesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,MEL,40,102,G,7,1,Day,57654,3,4,2,1,0,1,1,2,T intersection,2,80
T20060001138,41124,I,2499246.242,2401488.467,BAYSIDE,"BAYSIDE,PORT PHILLIP",METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.88770247,144.991431,3184,6/2/06,11:30:00,6,Vehicle overturned (no collision),2,Monday,172,OFF CARRIAGEWAY TO RIGHT                  ,MEL,40,320,G,6,1,Day,205344,1,1,0,1,0,0,1,5,Not at intersection,3,100
T20060001138,41124,I,2499246.242,2401488.467,BAYSIDE,"BAYSIDE,PORT PHILLIP",METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.88770247,144.991431,3186,6/2/06,17:15:00,2,Struck Pedestrian,2,Monday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,MEL,40,58,F,10,1,Day,202866,1,2,0,1,0,1,1,5,Not at intersection,3,60
T20060001141,224326,N,2588804.681,2321926.892,SOUTH GIPPSLAND,SOUTH GIPPSLAND,EASTERN REGION,RURAL_VICTORIA,-38.60011987,146.0192089,3956,6/2/06,16:45:00,1,Collision with vehicle,2,Monday,113,RIGHT NEAR (INTERSECTIONS ONLY)               ,MEL,40,100,D,2,1,Day,36708,2,3,1,0,0,2,1,2,T intersection,2,70
T20060001142,202853,N,2473902.168,2403013.139,WYNDHAM,WYNDHAM,METROPOLITAN NORTH WEST REGION,MELB_URBAN,-37.87359948,144.7033653,3029,6/2/06,16:25:00,1,Collision with vehicle,2,Monday,142,LEAVING PARKING                       ,VCS,9,566,A,7,1,Day,202867,2,2,1,0,0,1,1,5,Not at intersection,2,50
T20060001143,52654,I,2392790.527,2493849.845,CENTRAL GOLDFIELDS,CENTRAL GOLDFIELDS,WESTERN REGION,RURAL_VICTORIA,-37.04930905,143.7945638,3464,6/2/06,18:15:00,1,Collision with vehicle,2,Monday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,96,H,11,1,Day,202868,2,3,2,0,0,1,1,5,Not at intersection,2,50
T20060001147,205508,O,2601323.287,2388098.254,BAW BAW,BAW BAW,EASTERN REGION,RURAL_VICTORIA,-38.00281088,146.1536685,3825,6/2/06,19:45:00,1,Collision with vehicle,2,Monday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,MEL,40,2H,A,6,1,Day,205345,2,2,0,1,0,1,1,5,Not at intersection,3,60
T20060001150,43951,I,2527211.897,2366886.15,CASEY,CASEY,METROPOLITAN SOUTH EAST REGION,RURAL_VICTORIA,-38.19903839,145.3106373,3977,6/2/06,18:07:00,4,Collision with a fixed object,2,Monday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,MEL,40,99,G,9,1,Day,202870,1,4,4,0,0,0,1,5,Not at intersection,2,80
T20060001156,205234,N,2479817.607,2401953.268,HOBSONS BAY,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,MELB_URBAN,-37.88329592,144.7705723,3028,2/2/06,22:00:00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,206,G,2,3,Dark Street lights on,206534,2,2,0,1,0,1,2,5,Not at intersection,3,70
T20060001160,35619,I,2518809.017,2390689.202,DANDENONG,DANDENONG,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.98480886,145.2141035,3175,7/2/06,2:58:00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,80,A,4,3,Dark Street lights on,793,2,2,1,1,0,0,1,1,Cross intersection,2,80
T20060001162,55778,I,2490022.65,2411640.538,MARIBYRNONG,MARIBYRNONG,METROPOLITAN NORTH WEST REGION,MELB_URBAN,-37.79617978,144.8867112,3011,1/1/06,1:15:00,2,Struck Pedestrian,1,Sunday,106,VEH STRIKES PED ON FOOTPATH/MEDIAN/TRAFFIC ISLAND.,MEL,40,100A,F,6,3,Dark Street lights on,43466,2,3,0,1,0,2,1,2,T intersection,3,60
T20060001164,43517,I,2513255.85,2372262.299,FRANKSTON,FRANKSTON,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.15091243,145.151225,3199,7/2/06,6:35:00,1,Collision with vehicle,3,Tuesday,113,RIGHT NEAR (INTERSECTIONS ONLY)               ,MEL,40,358,K,3,2,Dusk/Dawn,48996,2,2,2,0,0,0,1,2,T intersection,2,60
T20060001170,202857,N,2511388.174,2371449.678,FRANKSTON,FRANKSTON,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.15825784,145.1299309,3199,7/2/06,8:15:00,8,No collision and no object struck,3,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT)         ,MEL,40,88,A,7,1,Day,841,2,2,0,1,0,1,2,1,Cross intersection,3,70
T20060001172,205278,N,2515744.427,2390929.55,DANDENONG,DANDENONG,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.98270052,145.1792142,3174,7/2/06,8:40:00,1,Collision with vehicle,3,Tuesday,140,U TURN                           ,MEL,40,128,J,8,1,Day,202825,2,2,1,0,0,1,1,5,Not at intersection,3,80
T20060001175,201520,N,2623040.758,2365254.636,LATROBE,LATROBE,EASTERN REGION,RURAL_VICTORIA,-38.20595784,146.404749,3840,4/1/06,8:10:00,4,Collision with a fixed object,4,Wednesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,MEL,40,16,C,10,1,Day,202186,1,1,0,1,0,0,1,5,Not at intersection,2,80
T20060001178,205279,N,2499763.513,2344521.56,MORNINGTON PENINSULA,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,RURAL_VICTORIA,-38.40089583,144.9972931,3928,3/1/06,6:40:00,4,Collision with a fixed object,3,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE      ,VCS,9,613,L,1,1,Day,205235,1,1,1,0,0,0,1,5,Not at intersection,2,60
T20060001180,205280,N,2492577.011,2337270.343,MORNINGTON PENINSULA,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,RURAL_VICTORIA,-38.46617899,144.9149606,3939,4/1/06,9:00:00,4,Collision with a fixed object,4,Wednesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,MEL,40,25,H,12,1,Day,202188,1,1,0,1,0,0,1,5,Not at intersection,2,100
T20060001191,38517,I,2483129.399,2407876.01,WYNDHAM,WYNDHAM,METROPOLITAN NORTH WEST REGION,MELB_URBAN,-37.82999884,144.8083553,3026,2/1/06,11:30:00,4,Collision with a fixed object,2,Monday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,VCS,9,93,C,7,1,Day,53535,1,1,1,0,0,0,2,2,T intersection,3,100
T20060001196,36753,I,2484473.547,2417184.266,BRIMBANK,BRIMBANK,METROPOLITAN NORTH WEST REGION,MELB_URBAN,-37.74615372,144.82382,3021,7/2/06,11:00:00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,VCS,9,58,D,2,1,Day,202826,1,2,0,1,0,1,2,5,Not at intersection,3,100
T20060001198,201516,N,2519331.374,2562103.051,SHEPPARTON,SHEPPARTON,NORTH EASTERN REGION,RURAL_VICTORIA,-36.4401007,145.21563,3616,7/2/06,11:30:00,1,Collision with vehicle,3,Tuesday,116,LEFT NEAR (INTERSECTIONS ONLY)               ,MEL,40,77,B,4,1,Day,42125,2,2,0,1,0,1,1,1,Cross intersection,3,70
T20060001198,201516,N,2519331.374,2562103.051,SHEPPARTON,SHEPPARTON,NORTH EASTERN REGION,TOWNS,-36.4401007,145.21563,3616,7/2/06,10:35:00,6,Vehicle overturned (no collision),3,Tuesday,180,OFF CARRIAGEWAY ON RIGHT BEND                ,VCS,9,92,H,6,1,Day,202827,1,1,1,0,0,0,1,5,Not at intersection,2,100
T20060001200,201564,N,2371397.178,2359210.458,COLAC OTWAY,COLAC OTWAY,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.25964265,143.5306941,3249,7/2/06,2:20:00,4,Collision with a fixed object,3,Tuesday,189,OTHER ACCIDENTS ON CURVE NOT INCLUDED IN DCAs 180-184    ,VCS,9,682,A,4,9,Unknown,56204,1,1,0,1,0,0,1,2,T intersection,3,80
T20060001201,29836,I,2478062.392,2410016.595,WYNDHAM,WYNDHAM,METROPOLITAN NORTH WEST REGION,RURAL_VICTORIA,-37.81060649,144.7508595,3029,7/2/06,13:45:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH                        ,MEL,40,431,J,10,1,Day,49699,2,3,0,1,0,2,1,2,T intersection,3,60
T20060001209,55501,I,2624136.805,2361925.461,LATROBE,LATROBE,EASTERN REGION,SMALL_CITIES,-38.23579833,146.4178267,3840,5/2/06,3:45:00,4,Collision with a fixed object,1,Sunday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE      ,MEL,40,451,F,4,3,Dark Street lights on,55499,1,2,2,0,0,0,1,2,T intersection,2,50
T20060001210,49719,I,2443563.517,2378680.332,GEELONG,GEELONG,SOUTH WESTERN REGION,LARGE_PROVINCIAL_CITIES,-38.0914709,144.356667,3214,1/1/06,1:30:00,4,Collision with a fixed object,1,Sunday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE      ,VCS,9,453,H,11,5,Dark No street lights,202064,1,1,0,1,0,0,1,5,Not at intersection,3,100
T20060001231,57654,I,2511990.336,2370878.054,FRANKSTON,FRANKSTON,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.16339975,145.1368105,3199,7/2/06,15:20:00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,444,J,7,1,Day,49795,2,2,0,1,0,1,1,1,Cross intersection,2,50
T20060001238,205344,N,2555181.345,2381010.237,CARDINIA,CARDINIA,METROPOLITAN SOUTH EAST REGION,RURAL_VICTORIA,-38.07055695,145.6288504,3813,6/2/06,21:50:00,1,Collision with vehicle,2,Monday,140,U TURN                           ,MEL,40,2A,G,4,3,Dark Street lights on,19,2,2,0,2,0,0,1,5,Not at intersection,3,60
T20060001252,202866,N,2500070.398,2403836.271,GLEN EIRA,"GLEN EIRA,PORT PHILLIP",METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.86654953,145.0008001,3183,22/1/06,17:45:00,1,Collision with vehicle,1,Sunday,121,RIGHT THROUGH                        ,VCS,9,565,U,11,1,Day,52958,2,2,0,1,0,1,2,1,Cross intersection,3,60
T20060001253,36708,I,2514708.235,2378040.432,FRANKSTON,FRANKSTON,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.0988369,145.1676779,3201,24/1/06,21:30:00,1,Collision with vehicle,3,Tuesday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES)        ,MEL,40,136,B,4,3,Dark Street lights on,205236,2,2,1,0,0,1,2,5,Not at intersection,2,50
T20060001255,202867,N,2397706.303,2437555.532,BALLARAT,BALLARAT,WESTERN REGION,LARGE_PROVINCIAL_CITIES,-37.55712024,143.842132,3350,7/2/06,16:15:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH                        ,MEL,40,79,C,3,1,Day,42410,4,4,1,0,0,3,1,2,T intersection,2,60
T20060001258,202868,N,2524225.68,2384054.334,CASEY,CASEY,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.04445812,145.2759802,3976,7/2/06,16:10:00,1,Collision with vehicle,3,Tuesday,120,HEAD ON (NOT OVERTAKING)                  ,MEL,40,163,F,11,1,Day,202836,2,2,1,1,0,0,1,5,Not at intersection,2,100
T20060001260,205345,N,2499945.412,2409159.833,YARRA,YARRA,METROPOLITAN NORTH WEST REGION,MELB_URBAN,-37.81858459,144.99938,3121,7/2/06,16:30:00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE)               ,MEL,40,77,H,12,1,Day,205349,4,6,0,1,0,5,1,5,Not at intersection,3,80
T20060001262,202870,N,2512176.548,2375120.992,FRANKSTON,FRANKSTON,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.12517423,145.1388646,3198,7/2/06,20:25:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH                        ,VCS,9,709,N,9,2,Dusk/Dawn,52313,2,3,1,0,0,2,1,1,Cross intersection,2,60
T20060001262,202870,N,2512176.548,2375120.992,FRANKSTON,FRANKSTON,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.12517423,145.1388646,3199,7/2/06,18:10:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH                        ,MEL,40,465,J,1,1,Day,50175,2,2,0,1,0,1,1,1,Cross intersection,3,60
T20060001264,206534,N,2473141.206,2402419.206,WYNDHAM,WYNDHAM,METROPOLITAN NORTH WEST REGION,MELB_URBAN,-37.878929,144.6946944,3029,7/2/06,21:44:00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,MEL,40,58,K,12,3,Dark Street lights on,40232,2,2,1,0,0,1,1,1,Cross intersection,2,60
T20060001265,793,I,2513733.359,2396501.501,MONASH,MONASH,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-37.93253217,145.1562187,3170,8/2/06,0:45:00,6,Vehicle overturned (no collision),4,Wednesday,180,OFF CARRIAGEWAY ON RIGHT BEND                ,VCS,9,80,H,9,5,Dark No street lights,202996,1,1,0,1,0,0,2,5,Not at intersection,3,100
T20060001270,43466,I,2511353.051,2373238.251,FRANKSTON,FRANKSTON,METROPOLITAN SOUTH EAST REGION,MELB_URBAN,-38.14214571,145.1295024,3199,4/1/06,14:10:00,4,Collision with a fixed object,4,Wednesday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE          ,VCS,9,58,C,5,1,Day,202201,1,2,0,2,0,0,1,5,Not at intersection,3,100
T20060001276,48996,I,2478161.468,2416425.622,MELTON,MELTON,METROPOLITAN NORTH WEST REGION,MELB_URBAN,-37.75286264,144.7521742,3023,8/2/06,7:55:00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE)               ,,,,,,1,Day,-1,6,6,0,3,0,3,1,5,Not at intersection,3,70
