"ACCIDENT_NO","ACCIDENTDATE","ACCIDENTTIME","Accident Type Desc","Day Week Description","Light Condition Desc","NO_OF_VEHICLES","NO_PERSONS","Road Geometry Desc","SEVERITY","SPEED_ZONE","VEHICLE_ID","VEHICLE_YEAR_MANUF","VEHICLE_BODY_STYLE","VEHICLE_MAKE","Vehicle Type Desc","SEX","AGE","Age Group","Road User Type Desc"
"T20190000009","1/1/19",02:16:00,"Collision with a fixed object","Tuesday","Dark Street lights on",1,1,"T intersection",2,60,"A",1997,"SEDAN","HOLDEN","Car","M",26,"26-29","Drivers"
"T20190000010","1/1/19",03:00:00,"Collision with a fixed object","Tuesday","Dark No street lights",1,1,"Not at intersection",3,70,"A",2004,"WAGON","TOYOTA","Station Wagon","F",48,"40-49","Drivers"
"T20190000011","1/1/19",02:45:00,"Collision with a fixed object","Tuesday","Dark Street lights on",1,2,"Not at intersection",3,50,"A",2003,"SEDAN","FORD","Car","U",NA,"unknown","Drivers"
"T20190000015","1/1/19",06:00:00,"Collision with a fixed object","Tuesday","Day",1,1,"Not at intersection",2,100,"A",2007,"SEDAN","HOLDEN","Car","M",26,"26-29","Drivers"
"T20190000019","1/1/19",06:00:00,"Collision with a fixed object","Tuesday","Day",3,1,"T intersection",3,50,"A",2011,"SEDAN","HOLDEN","Car","M",22,"22-25","Drivers"
"T20190000021","1/1/19",08:27:00,"Collision with a fixed object","Tuesday","Day",1,1,"T intersection",2,50,"A",2007,"SEDAN","KIA","Car","F",44,"40-49","Drivers"
"T20190000022","1/1/19",07:45:00,"Collision with a fixed object","Tuesday","Day",1,1,"Not at intersection",3,100,"A",2009,"SEDAN","MAZDA","Car","F",18,"17-21","Drivers"
"T20190000023","1/1/19",07:28:00,"No collision and no object struck","Tuesday","Day",1,1,"Not at intersection",2,100,"A",2005,"SEDAN","CITRN","Car","F",26,"26-29","Drivers"
"T20190000025","1/1/19",10:38:00,"Struck Pedestrian","Tuesday","Day",1,2,"Cross intersection",3,60,"A",2012,"SED","TOYOTA","Taxi","M",35,"30-39","Drivers"
"T20190000030","1/1/19",12:15:00,"Vehicle overturned (no collision)","Tuesday","Day",1,1,"Not at intersection",3,100,"A",2007,"WAGON","SUZUKI","Station Wagon","M",19,"17-21","Drivers"
"T20190000031","1/1/19",13:52:00,"Collision with vehicle","Tuesday","Day",2,3,"Not at intersection",3,80,"A",2005,"UTIL","HOLDEN","Utility","M",31,"30-39","Drivers"
"T20190000031","1/1/19",13:52:00,"Collision with vehicle","Tuesday","Day",2,3,"Not at intersection",3,80,"B",2011,"SEDAN","FORD","Car","M",68,"64-69","Drivers"
"T20190000035","1/1/19",15:15:00,"Collision with vehicle","Tuesday","Day",2,3,"T intersection",3,60,"A",2009,"SEDAN","MITSUB","Car","F",22,"22-25","Drivers"
"T20190000035","1/1/19",15:15:00,"Collision with vehicle","Tuesday","Day",2,3,"T intersection",3,60,"B",2017,"VAN","ISUZU","Heavy Vehicle (Rigid) > 4.5 Tonnes","M",40,"40-49","Drivers"
"T20190000036","1/1/19",15:10:00,"Collision with a fixed object","Tuesday","Day",1,1,"T intersection",3,50,"A",2006,"SEDAN","VOLKS","Car","M",41,"40-49","Drivers"
"T20190000037","1/1/19",15:50:00,"collision with some other object","Tuesday","Day",1,1,"Not at intersection",3,80,"A",2016,"DC UTE","MITSUB","Utility","F",32,"30-39","Drivers"
"T20190000041","1/1/19",15:35:00,"Collision with vehicle","Tuesday","Day",2,5,"Cross intersection",2,80,"A",2015,"WAGON","MITSUB","Station Wagon","M",68,"64-69","Drivers"
"T20190000041","1/1/19",15:35:00,"Collision with vehicle","Tuesday","Day",2,5,"Cross intersection",2,80,"B",1997,"SEDAN","UNKN","Car","M",59,"50-59","Drivers"
"T20190000048","1/1/19",13:25:00,"Collision with a fixed object","Tuesday","Day",1,1,"Not at intersection",2,50,"A",2007,"SEDAN","HONDA","Car","M",32,"30-39","Drivers"
"T20190000051","1/1/19",17:27:00,"Collision with vehicle","Tuesday","Day",4,1,"Not at intersection",2,50,"A",2007,"SEDAN","TOYOTA","Car","F",79,"70+","Drivers"
"T20190000059","1/1/19",17:05:00,"Collision with a fixed object","Tuesday","Day",3,3,"Not at intersection",3,100,"B",1997,"SEDAN","HOLDEN","Car","M",27,"26-29","Drivers"
"T20190000059","1/1/19",17:05:00,"Collision with a fixed object","Tuesday","Day",3,3,"Not at intersection",3,100,"C",2002,"S WAG","L ROV","Station Wagon","M",53,"50-59","Drivers"
"T20190000060","1/1/19",19:12:00,"Collision with vehicle","Tuesday","Day",4,7,"Not at intersection",3,60,"A",2009,"S WAG","UNKN","Station Wagon","M",29,"26-29","Drivers"
"T20190000060","1/1/19",19:12:00,"Collision with vehicle","Tuesday","Day",4,7,"Not at intersection",3,60,"B",2001,"SEDAN","FORD","Car","F",66,"64-69","Drivers"
"T20190000060","1/1/19",19:12:00,"Collision with vehicle","Tuesday","Day",4,7,"Not at intersection",3,60,"C",2006,"SEDAN","MAZDA","Car","F",53,"50-59","Drivers"
"T20190000060","1/1/19",19:12:00,"Collision with vehicle","Tuesday","Day",4,7,"Not at intersection",3,60,"D",2005,"WAGON","HONDA","Station Wagon","M",38,"30-39","Drivers"
"T20190000063","1/1/19",04:50:00,"Collision with a fixed object","Tuesday","Dark Street lights on",1,1,"Cross intersection",2,80,"A",0,"SEDAN","FORD","Car","M",32,"30-39","Drivers"
"T20190000065","1/1/19",22:30:00,"Collision with vehicle","Tuesday","Dark Street lights on",2,3,"T intersection",2,60,"A",2008,"SEDAN","TOYOTA","Car","M",49,"40-49","Drivers"
"T20190000065","1/1/19",22:30:00,"Collision with vehicle","Tuesday","Dark Street lights on",2,3,"T intersection",2,60,"B",2006,"SED","TOYOTA","Car","M",35,"30-39","Drivers"
"T20190000067","1/1/19",03:05:00,"Collision with a fixed object","Tuesday","Dark Street lights on",1,1,"Not at intersection",2,60,"A",2003,"SEDAN","HOLDEN","Car","M",22,"22-25","Drivers"
"T20190000070","1/1/19",16:30:00,"Collision with vehicle","Tuesday","Day",2,7,"Not at intersection",2,100,"A",2003,"DC UTE","FORD","Utility","M",20,"17-21","Drivers"
"T20190000070","1/1/19",16:30:00,"Collision with vehicle","Tuesday","Day",2,7,"Not at intersection",2,100,"B",2006,"DC UTE","TOYOTA","Utility","M",20,"17-21","Drivers"
"T20190000071","1/1/19",23:00:00,"Collision with a fixed object","Tuesday","Dark Street lights on",1,1,"Not at intersection",2,100,"A",2009,"UTIL","HOLDEN","Utility","F",72,"70+","Drivers"
"T20190000072","2/1/19",00:05:00,"Collision with vehicle","Wednesday","Dark Street lights on",2,3,"Cross intersection",3,80,"A",2009,"WAGON","HYNDAI","Station Wagon","M",58,"50-59","Drivers"
"T20190000072","2/1/19",00:05:00,"Collision with vehicle","Wednesday","Dark Street lights on",2,3,"Cross intersection",3,80,"B",2005,"WAGON","NISSAN","Car","F",37,"30-39","Drivers"
"T20190000074","2/1/19",01:45:00,"Collision with vehicle","Wednesday","Dark Street lights on",2,2,"T intersection",3,70,"A",2018,"SEDAN","TOYOTA","Car","M",29,"26-29","Drivers"
"T20190000074","2/1/19",01:45:00,"Collision with vehicle","Wednesday","Dark Street lights on",2,2,"T intersection",3,70,"B",2006,"SEDAN","FORD","Car","M",77,"70+","Drivers"
"T20190000075","2/1/19",00:49:00,"Struck Pedestrian","Wednesday","Dark Street lights on",1,2,"T intersection",2,50,"A",2018,"SEDAN","HONDA","Car","F",63,"60-64","Drivers"
"T20190000076","2/1/19",04:40:00,"Collision with vehicle","Wednesday","Dark Street lights on",2,3,"Not at intersection",3,50,"A",2017,"WAGON","MERC B","Station Wagon","M",16,"16-17","Drivers"
"T20190000076","2/1/19",04:40:00,"Collision with vehicle","Wednesday","Dark Street lights on",2,3,"Not at intersection",3,50,"B",2017,"UTIL","HOLDEN","Utility","U",NA,"unknown","Drivers"
"T20190000078","2/1/19",05:25:00,"Collision with vehicle","Wednesday","Dusk/Dawn",2,2,"Cross intersection",3,40,"A",2002,"SEDAN","HYNDAI","Car","F",25,"22-25","Drivers"
"T20190000078","2/1/19",05:25:00,"Collision with vehicle","Wednesday","Dusk/Dawn",2,2,"Cross intersection",3,40,"B",2007,"S WAG","HOLDEN","Car","M",66,"64-69","Drivers"
"T20190000079","2/1/19",07:43:00,"Collision with vehicle","Wednesday","Day",2,2,"Cross intersection",3,50,"A",2016,"SEDAN","HYNDAI","Car","F",25,"22-25","Drivers"
"T20190000079","2/1/19",07:43:00,"Collision with vehicle","Wednesday","Day",2,2,"Cross intersection",3,50,"B",2018,"WAGON","REN","Car","M",40,"40-49","Drivers"
"T20190000080","1/1/19",20:15:00,"Collision with a fixed object","Tuesday","Day",1,1,"Not at intersection",3,50,"A",1968,"SEDAN","FORD","Car","M",47,"40-49","Drivers"
"T20190000081","1/1/19",22:31:00,"Struck Pedestrian","Tuesday","Dark Street lights on",1,2,"Not at intersection",3,60,"A",2006,"DC UTE","NISSAN","Utility","M",18,"17-21","Drivers"
"T20190000084","2/1/19",11:25:00,"Fall from or in moving vehicle","Wednesday","Day",1,2,"Not at intersection",3,50,"A",2009,"BUS","SCANIA","Bus/Coach","M",50,"50-59","Drivers"
"T20190000085","2/1/19",06:37:00,"Struck Pedestrian","Wednesday","Day",1,2,"Cross intersection",2,999,"A",2010,"BUS","VOLVO","Bus/Coach","M",66,"64-69","Drivers"
"T20190000092","2/1/19",02:52:00,"Collision with vehicle","Wednesday","Dark Street lights on",2,4,"Cross intersection",2,70,"A",2014,"SEDAN","HOLDEN","Car","F",26,"26-29","Drivers"
"T20190000092","2/1/19",02:52:00,"Collision with vehicle","Wednesday","Dark Street lights on",2,4,"Cross intersection",2,70,"B",2010,"SEDAN","FORD","Taxi","M",56,"50-59","Drivers"
"T20190000094","2/1/19",13:12:00,"Collision with a fixed object","Wednesday","Day",1,1,"T intersection",2,60,"A",2004,"SEDAN","HYNDAI","Car","M",84,"70+","Drivers"
"T20190000095","2/1/19",13:25:00,"Collision with vehicle","Wednesday","Day",4,4,"Cross intersection",3,80,"A",2015,"WAGON","SUBARU","Station Wagon","F",55,"50-59","Drivers"
"T20190000095","2/1/19",13:25:00,"Collision with vehicle","Wednesday","Day",4,4,"Cross intersection",3,80,"B",2017,"SEDAN","HYNDAI","Car","F",18,"17-21","Drivers"
"T20190000095","2/1/19",13:25:00,"Collision with vehicle","Wednesday","Day",4,4,"Cross intersection",3,80,"C",2009,"DC UTE","MITSUB","Utility","M",28,"26-29","Drivers"
"T20190000095","2/1/19",13:25:00,"Collision with vehicle","Wednesday","Day",4,4,"Cross intersection",3,80,"D",2013,"WAGON","PEUG","Station Wagon","F",81,"70+","Drivers"
"T20190000099","2/1/19",15:00:00,"Struck Pedestrian","Wednesday","Day",1,2,"Cross intersection",3,40,"A",2010,"S WAG","HOLDEN","Station Wagon","M",25,"22-25","Drivers"
"T20190000100","2/1/19",14:18:00,"Collision with vehicle","Wednesday","Day",2,2,"T intersection",3,50,"A",2011,"SEDAN","TOYOTA","Car","F",33,"30-39","Drivers"
"T20190000100","2/1/19",14:18:00,"Collision with vehicle","Wednesday","Day",2,2,"T intersection",3,50,"B",2010,"SEDAN","B M W","Car","M",62,"60-64","Drivers"
"T20190000107","2/1/19",10:30:00,"Vehicle overturned (no collision)","Wednesday","Day",1,2,"Not at intersection",2,100,"A",2008,"DC UTE","TOYOTA","Utility","M",33,"30-39","Drivers"
"T20190000108","2/1/19",14:35:00,"Collision with vehicle","Wednesday","Day",2,3,"T intersection",3,100,"A",2011,"SEDAN","HOLDEN","Car","F",29,"26-29","Drivers"
"T20190000108","2/1/19",14:35:00,"Collision with vehicle","Wednesday","Day",2,3,"T intersection",3,100,"B",2012,"TIPPER","F LINE","Heavy Vehicle (Rigid) > 4.5 Tonnes","M",67,"64-69","Drivers"
"T20190000112","2/1/19",20:10:00,"Struck Pedestrian","Wednesday","Day",1,2,"T intersection",2,60,"A",2015,"SEDAN","TOYOTA","Car","M",50,"50-59","Drivers"
"T20190000119","2/1/19",19:42:00,"Collision with vehicle","Wednesday","Day",3,7,"Cross intersection",2,60,"A",2008,"WAGON","MAZDA","Station Wagon","M",39,"30-39","Drivers"
"T20190000119","2/1/19",19:42:00,"Collision with vehicle","Wednesday","Day",3,7,"Cross intersection",2,60,"B",2010,"SEDAN","HOLDEN","Car","M",30,"30-39","Drivers"
"T20190000119","2/1/19",19:42:00,"Collision with vehicle","Wednesday","Day",3,7,"Cross intersection",2,60,"C",2017,"SEDAN","HOLDEN","Car","U",NA,"unknown","Drivers"
"T20190000125","2/1/19",13:00:00,"Collision with vehicle","Wednesday","Day",2,2,"Not at intersection",3,50,"A",2004,"SEDAN","FORD","Car","M",44,"40-49","Drivers"
"T20190000126","2/1/19",18:02:00,"Struck Pedestrian","Wednesday","Day",1,3,"Not at intersection",2,30,"A",2004,"WAGON","FORD","Station Wagon","M",28,"26-29","Drivers"
"T20190000130","3/1/19",10:40:00,"Collision with vehicle","Thursday","Day",3,4,"Not at intersection",3,80,"A",2005,"DC UTE","SSANGY","Utility","M",23,"22-25","Drivers"
"T20190000130","3/1/19",10:40:00,"Collision with vehicle","Thursday","Day",3,4,"Not at intersection",3,80,"B",2002,"WAGON","HONDA","Station Wagon","M",82,"70+","Drivers"
"T20190000130","3/1/19",10:40:00,"Collision with vehicle","Thursday","Day",3,4,"Not at intersection",3,80,"C",2016,"CARVN","VOLKS","Panel Van","U",NA,"unknown","Drivers"
"T20190000136","3/1/19",12:25:00,"Collision with vehicle","Thursday","Day",2,2,"Not at intersection",3,80,"A",2007,"SEDAN","TOYOTA","Car","M",27,"26-29","Drivers"
"T20190000136","3/1/19",12:25:00,"Collision with vehicle","Thursday","Day",2,2,"Not at intersection",3,80,"B",2013,"SEDAN","HYNDAI","Car","F",29,"26-29","Drivers"
"T20190000148","3/1/19",17:45:00,"Collision with vehicle","Thursday","Day",2,2,"Not at intersection",3,50,"A",2017,"SEDAN","TOYOTA","Car","F",37,"30-39","Drivers"
"T20190000150","3/1/19",16:10:00,"Collision with vehicle","Thursday","Day",2,2,"Not at intersection",3,60,"A",2014,"WAGON","HONDA","Car","F",43,"40-49","Drivers"
"T20190000150","3/1/19",16:10:00,"Collision with vehicle","Thursday","Day",2,2,"Not at intersection",3,60,"B",2006,"SEDAN","AUDI","Car","M",28,"26-29","Drivers"
"T20190000151","3/1/19",17:57:00,"Collision with a fixed object","Thursday","Day",1,1,"Cross intersection",3,60,"A",2010,"SED","TOYOTA","Car","M",76,"70+","Drivers"
"T20190000158","3/1/19",16:45:00,"Collision with vehicle","Thursday","Day",2,3,"T intersection",3,80,"A",2011,"S WAG","HOLDEN","Station Wagon","F",36,"30-39","Drivers"
"T20190000158","3/1/19",16:45:00,"Collision with vehicle","Thursday","Day",2,3,"T intersection",3,80,"B",2015,"DC UTE","NISSAN","Utility","M",35,"30-39","Drivers"
"T20190000161","3/1/19",18:30:00,"Collision with vehicle","Thursday","Day",2,4,"Cross intersection",3,80,"A",2012,"WAGON","NISSAN","Car","M",59,"50-59","Drivers"
"T20190000161","3/1/19",18:30:00,"Collision with vehicle","Thursday","Day",2,4,"Cross intersection",3,80,"B",2002,"WAGON","UNKN","Car","M",NA,"unknown","Drivers"
"T20190000167","3/1/19",20:50:00,"Collision with vehicle","Thursday","Dusk/Dawn",2,3,"T intersection",2,60,"A",2012,"COUPE","HYNDAI","Car","M",38,"30-39","Drivers"
"T20190000170","4/1/19",02:10:00,"Collision with a fixed object","Friday","Dark No street lights",1,2,"Not at intersection",3,100,"A",2009,"COUPE","B M W","Car","F",59,"50-59","Drivers"
"T20190000181","4/1/19",11:15:00,"Collision with vehicle","Friday","Day",2,2,"Not at intersection",3,777,"B",2010,"SEDAN","MAZDA","Car","F",52,"50-59","Drivers"
"T20190000182","4/1/19",10:00:00,"Collision with vehicle","Friday","Day",2,2,"T intersection",3,70,"A",2012,"UTIL","HOLDEN","Utility","M",39,"30-39","Drivers"
"T20190000185","4/1/19",13:00:00,"Struck Pedestrian","Friday","Day",1,2,"Cross intersection",3,60,"A",2015,"WAGON","MAZDA","Station Wagon","F",33,"30-39","Drivers"
"T20190000190","4/1/19",12:30:00,"Collision with vehicle","Friday","Day",5,8,"Cross intersection",2,80,"A",2016,"SEDAN","HOLDEN","Car","M",59,"50-59","Drivers"
"T20190000190","4/1/19",12:30:00,"Collision with vehicle","Friday","Day",5,8,"Cross intersection",2,80,"B",2018,"WAGON","MAZDA","Station Wagon","F",21,"17-21","Drivers"
"T20190000190","4/1/19",12:30:00,"Collision with vehicle","Friday","Day",5,8,"Cross intersection",2,80,"C",2001,"SEDAN","TOYOTA","Car","F",52,"50-59","Drivers"
"T20190000190","4/1/19",12:30:00,"Collision with vehicle","Friday","Day",5,8,"Cross intersection",2,80,"D",2006,"SEDAN","MITSUB","Car","M",21,"17-21","Drivers"
"T20190000190","4/1/19",12:30:00,"Collision with vehicle","Friday","Day",5,8,"Cross intersection",2,80,"E",2009,"DC UTE","TOYOTA","Utility","M",52,"50-59","Drivers"
"T20190000191","4/1/19",10:00:00,"Struck Pedestrian","Friday","Day",1,3,"T intersection",3,60,"A",2013,"WAGON","UNKN","Station Wagon","F",31,"30-39","Drivers"
"T20190000197","4/1/19",15:04:00,"Collision with vehicle","Friday","Day",2,4,"Not at intersection",2,60,"B",2010,"SED","TOYOTA","Car","F",22,"22-25","Drivers"
"T20190000199","4/1/19",12:30:00,"Collision with a fixed object","Friday","Day",1,1,"Not at intersection",3,60,"A",2016,"WAGON","MITSUB","Station Wagon","M",32,"30-39","Drivers"
"T20190000203","4/1/19",15:09:00,"Collision with vehicle","Friday","Day",2,2,"Cross intersection",3,50,"A",2017,"S WAG","TOYOTA","Station Wagon","F",28,"26-29","Drivers"
"T20190000203","4/1/19",15:09:00,"Collision with vehicle","Friday","Day",2,2,"Cross intersection",3,50,"B",1998,"T SDS","TOYOTA","Utility","M",61,"60-64","Drivers"
"T20190000204","4/1/19",14:00:00,"Vehicle overturned (no collision)","Friday","Day",1,1,"Not at intersection",2,75,"A",2003,"SEDAN","HONDA","Car","F",20,"17-21","Drivers"
"T20190000206","4/1/19",15:44:00,"Collision with vehicle","Friday","Day",2,2,"T intersection",3,60,"A",2012,"SEDAN","FORD","Car","M",26,"26-29","Drivers"
"T20190000206","4/1/19",15:44:00,"Collision with vehicle","Friday","Day",2,2,"T intersection",3,60,"B",2017,"WAGON","MERC B","Station Wagon","F",31,"30-39","Drivers"
"T20190000209","4/1/19",18:30:00,"Collision with vehicle","Friday","Day",2,2,"Cross intersection",3,60,"B",2012,"SEDAN","TOYOTA","Car","M",32,"30-39","Drivers"
"T20190000211","4/1/19",17:31:00,"Collision with vehicle","Friday","Day",5,5,"Cross intersection",3,80,"A",2014,"WAGON","TOYOTA","Station Wagon","M",72,"70+","Drivers"
"T20190000211","4/1/19",17:31:00,"Collision with vehicle","Friday","Day",5,5,"Cross intersection",3,80,"C",2017,"WAGON","NISSAN","Station Wagon","F",34,"30-39","Drivers"
"T20190000211","4/1/19",17:31:00,"Collision with vehicle","Friday","Day",5,5,"Cross intersection",3,80,"D",2010,"SEDAN","TOYOTA","Car","F",36,"30-39","Drivers"
"T20190000211","4/1/19",17:31:00,"Collision with vehicle","Friday","Day",5,5,"Cross intersection",3,80,"E",2018,"SEDAN","TOYOTA","Car","F",21,"17-21","Drivers"
"T20190000211","4/1/19",17:31:00,"Collision with vehicle","Friday","Day",5,5,"Cross intersection",3,80,"F",2003,"WAGON","NISSAN","Station Wagon","M",58,"50-59","Drivers"
"T20190000213","4/1/19",07:00:00,"Collision with vehicle","Friday","Day",2,3,"T intersection",3,60,"A",2008,"SEDAN","FORD","Car","U",NA,"unknown","Drivers"
"T20190000213","4/1/19",07:00:00,"Collision with vehicle","Friday","Day",2,3,"T intersection",3,60,"B",2009,"SED","HONDA","Car","M",27,"26-29","Drivers"
"T20190000215","4/1/19",18:42:00,"Collision with a fixed object","Friday","Day",1,1,"Not at intersection",3,100,"A",2006,"WAGON","MITSUB","Station Wagon","F",26,"26-29","Drivers"
"T20190000217","4/1/19",19:30:00,"Collision with a fixed object","Friday","Day",1,3,"Not at intersection",3,100,"A",2006,"DC UTE","TOYOTA","Utility","M",18,"17-21","Drivers"
"T20190000219","4/1/19",19:40:00,"Collision with a fixed object","Friday","Day",1,1,"T intersection",3,60,"A",2009,"S WAG","HOLDEN","Station Wagon","M",34,"30-39","Drivers"
"T20190000222","4/1/19",20:53:00,"Collision with a fixed object","Friday","Dark Street lights on",2,6,"Cross intersection",2,80,"A",2013,"S WAG","HOLDEN","Station Wagon","M",22,"22-25","Drivers"
"T20190000222","4/1/19",20:53:00,"Collision with a fixed object","Friday","Dark Street lights on",2,6,"Cross intersection",2,80,"B",2017,"SEDAN","HOLDEN","Car","U",NA,"unknown","Drivers"
"T20190000223","5/1/19",03:19:00,"Collision with vehicle","Saturday","Dark Street lights on",2,4,"T intersection",3,40,"B",2018,"UTIL","HOLDEN","Utility","U",NA,"unknown","Drivers"
"T20190000224","5/1/19",03:40:00,"Collision with a fixed object","Saturday","Dark No street lights",1,2,"T intersection",3,60,"A",2007,"SED","HONDA","Car","M",21,"17-21","Drivers"
"T20190000226","4/1/19",14:45:00,"Struck Pedestrian","Friday","Day",1,3,"Not at intersection",2,50,"A",2014,"SEDAN","UNKN","Car","M",22,"22-25","Drivers"
"T20190000227","4/1/19",09:45:00,"Collision with vehicle","Friday","Day",2,2,"T intersection",3,60,"A",1994,"WAGON","TOYOTA","Station Wagon","M",71,"70+","Drivers"
"T20190000227","4/1/19",09:45:00,"Collision with vehicle","Friday","Day",2,2,"T intersection",3,60,"B",2009,"SEDAN","TOYOTA","Car","M",29,"26-29","Drivers"
"T20190000231","5/1/19",09:30:00,"Collision with vehicle","Saturday","Day",2,2,"Not at intersection",3,60,"B",2013,"SEDAN","HYNDAI","Car","F",32,"30-39","Drivers"
"T20190000232","5/1/19",10:35:00,"Collision with vehicle","Saturday","Day",2,2,"Not at intersection",2,80,"A",2018,"DC UTE","MITSUB","Utility","M",61,"60-64","Drivers"
"T20190000232","5/1/19",10:35:00,"Collision with vehicle","Saturday","Day",2,2,"Not at intersection",2,80,"B",2012,"DC UTE","VOLKS","Utility","M",43,"40-49","Drivers"
"T20190000234","5/1/19",11:10:00,"Collision with vehicle","Saturday","Day",2,2,"Cross intersection",3,60,"A",2018,"WAGON","HOLDEN","Station Wagon","M",56,"50-59","Drivers"
"T20190000235","4/1/19",16:00:00,"Collision with vehicle","Friday","Day",3,3,"Not at intersection",3,80,"A",2011,"SEDAN","KIA","Car","F",24,"22-25","Drivers"
"T20190000235","4/1/19",16:00:00,"Collision with vehicle","Friday","Day",3,3,"Not at intersection",3,80,"B",2016,"DC UTE","MAZDA","Utility","M",29,"26-29","Drivers"
"T20190000235","4/1/19",16:00:00,"Collision with vehicle","Friday","Day",3,3,"Not at intersection",3,80,"C",2008,"DC UTE","HOLDEN","Utility","M",56,"50-59","Drivers"
"T20190000238","5/1/19",09:45:00,"Collision with vehicle","Saturday","Day",2,2,"T intersection",3,60,"A",2013,"SEDAN","SUBARU","Car","F",25,"22-25","Drivers"
"T20190000238","5/1/19",09:45:00,"Collision with vehicle","Saturday","Day",2,2,"T intersection",3,60,"B",2008,"SEDAN","NISSAN","Car","F",60,"60-64","Drivers"
"T20190000239","5/1/19",12:40:00,"Collision with a fixed object","Saturday","Day",1,3,"Not at intersection",3,60,"A",2004,"WAGON","MAZDA","Station Wagon","F",39,"30-39","Drivers"
"T20190000241","5/1/19",01:20:00,"collision with some other object","Saturday","Dark Street lights unknown",1,1,"Not at intersection",3,80,"A",2011,"SEDAN","HOLDEN","Car","M",46,"40-49","Drivers"
"T20190000242","5/1/19",13:15:00,"Collision with vehicle","Saturday","Day",2,3,"Cross intersection",2,60,"A",2011,"SEDAN","MAZDA","Car","F",79,"70+","Drivers"
"T20190000242","5/1/19",13:15:00,"Collision with vehicle","Saturday","Day",2,3,"Cross intersection",2,60,"B",2009,"SEDAN","AUDI","Car","M",25,"22-25","Drivers"
"T20190000245","5/1/19",13:00:00,"Collision with vehicle","Saturday","Day",2,7,"T intersection",3,100,"A",2018,"WAGON","HOLDEN","Station Wagon","F",37,"30-39","Drivers"
"T20190000245","5/1/19",13:00:00,"Collision with vehicle","Saturday","Day",2,7,"T intersection",3,100,"B",2016,"SEDAN","HOLDEN","Car","M",28,"26-29","Drivers"
"T20190000247","5/1/19",13:30:00,"Collision with vehicle","Saturday","Day",2,4,"T intersection",3,60,"A",2010,"SEDAN","FORD","Car","M",77,"70+","Drivers"
"T20190000247","5/1/19",13:30:00,"Collision with vehicle","Saturday","Day",2,4,"T intersection",3,60,"B",2017,"WAGON","B M W","Car","F",43,"40-49","Drivers"
"T20190000254","5/1/19",14:10:00,"Collision with vehicle","Saturday","Day",3,3,"T intersection",3,60,"A",2015,"SEDAN","AUDI","Car","M",24,"22-25","Drivers"
"T20190000254","5/1/19",14:10:00,"Collision with vehicle","Saturday","Day",3,3,"T intersection",3,60,"B",2002,"WAGON","NISSAN","Station Wagon","M",41,"40-49","Drivers"
"T20190000254","5/1/19",14:10:00,"Collision with vehicle","Saturday","Day",3,3,"T intersection",3,60,"C",2009,"BUS","TOYOTA","Mini Bus(9-13 seats)","M",23,"22-25","Drivers"
"T20190000256","5/1/19",15:04:00,"Collision with vehicle","Saturday","Day",3,4,"T intersection",3,60,"A",2017,"WAGON","KIA","Station Wagon","M",30,"30-39","Drivers"
"T20190000256","5/1/19",15:04:00,"Collision with vehicle","Saturday","Day",3,4,"T intersection",3,60,"B",2007,"WAGON","HONDA","Station Wagon","F",29,"26-29","Drivers"
"T20190000256","5/1/19",15:04:00,"Collision with vehicle","Saturday","Day",3,4,"T intersection",3,60,"C",2016,"UTIL","MITSUB","Utility","M",22,"22-25","Drivers"
"T20190000257","5/1/19",14:43:00,"Collision with vehicle","Saturday","Day",2,2,"Not at intersection",3,60,"A",2007,"WAGON","HONDA","Station Wagon","M",33,"30-39","Drivers"
"T20190000257","5/1/19",14:43:00,"Collision with vehicle","Saturday","Day",2,2,"Not at intersection",3,60,"B",2003,"SEDAN","TOYOTA","Car","M",90,"70+","Drivers"
"T20190000262","4/1/19",19:00:00,"Collision with vehicle","Friday","Day",2,2,"Cross intersection",3,80,"A",2010,"SEDAN","FORD","Car","M",25,"22-25","Drivers"
"T20190000262","4/1/19",19:00:00,"Collision with vehicle","Friday","Day",2,2,"Cross intersection",3,80,"B",2007,"WAGON","FORD","Station Wagon","F",24,"22-25","Drivers"
"T20190000263","3/1/19",17:00:00,"Collision with vehicle","Thursday","Unknown",2,2,"T intersection",3,50,"A",2002,"SEDAN","HYNDAI","Car","M",47,"40-49","Drivers"
"T20190000263","3/1/19",17:00:00,"Collision with vehicle","Thursday","Unknown",2,2,"T intersection",3,50,"B",2016,"WAGON","AUDI","Station Wagon","F",29,"26-29","Drivers"
"T20190000264","5/1/19",14:50:00,"Collision with vehicle","Saturday","Day",2,6,"Cross intersection",3,60,"A",2005,"WAGON","NISSAN","Station Wagon","F",42,"40-49","Drivers"
"T20190000264","5/1/19",14:50:00,"Collision with vehicle","Saturday","Day",2,6,"Cross intersection",3,60,"B",2002,"WAGON","TOYOTA","Station Wagon","M",73,"70+","Drivers"
"T20190000265","5/1/19",12:48:00,"Collision with vehicle","Saturday","Day",2,3,"Not at intersection",3,80,"B",2011,"S WAG","TOYOTA","Station Wagon","M",25,"22-25","Drivers"
"T20190000268","3/1/19",23:10:00,"Collision with vehicle","Thursday","Dark No street lights",2,4,"Not at intersection",3,100,"A",2016,"SEDAN","HYNDAI","Car","M",30,"30-39","Drivers"
