"ACCIDENT_NO","ACCIDENTDATE","ACCIDENTTIME","Accident Type Desc","Day Week Description","Light Condition Desc","NO_OF_VEHICLES","NO_PERSONS","Road Geometry Desc","SEVERITY","SPEED_ZONE","VEHICLE_ID","VEHICLE_YEAR_MANUF","VEHICLE_BODY_STYLE","VEHICLE_MAKE","Vehicle Type Desc","SEX","AGE","Age Group","Road User Type Desc"
"T20190003708","26/2/19",06:53:00,"Collision with vehicle","Tuesday","Day",3,3,"Not at intersection",2,70,"A",2011,"SEDAN","HOLDEN","Car","M",48,"40-49","Drivers"
"T20190003708","26/2/19",06:53:00,"Collision with vehicle","Tuesday","Day",3,3,"Not at intersection",2,70,"B",2012,"UTIL","FORD","Utility","M",19,"17-21","Drivers"
"T20190003708","26/2/19",06:53:00,"Collision with vehicle","Tuesday","Day",3,3,"Not at intersection",2,70,"C",2002,"SEDAN","VOLKS","Car","M",21,"17-21","Drivers"
"T20190003710","24/2/19",14:22:00,"Vehicle overturned (no collision)","Sunday","Day",1,1,"Not at intersection",3,60,"A",2018,"ST TRK","U D","Heavy Vehicle (Rigid) > 4.5 Tonnes","M",43,"40-49","Drivers"
"T20190003713","26/2/19",08:45:00,"Collision with vehicle","Tuesday","Day",2,2,"T intersection",3,60,"A",1996,"SEDAN","FORD","Car","M",55,"50-59","Drivers"
"T20190003713","26/2/19",08:45:00,"Collision with vehicle","Tuesday","Day",2,2,"T intersection",3,60,"B",1997,"SEDAN","FORD","Car","F",19,"17-21","Drivers"
"T20190003717","26/2/19",07:15:00,"Collision with vehicle","Tuesday","Day",2,2,"Not at intersection",3,100,"A",2008,"SEDAN","HONDA","Car","F",18,"17-21","Drivers"
"T20190003719","26/2/19",07:30:00,"Collision with vehicle","Tuesday","Day",2,2,"T intersection",3,40,"A",2008,"SEDAN","REN","Car","F",61,"60-64","Drivers"
"T20190003721","26/2/19",09:50:00,"Struck Pedestrian","Tuesday","Day",1,2,"Not at intersection",2,70,"A",2015,"WAGON","HOLDEN","Station Wagon","M",34,"30-39","Drivers"
"T20190003725","26/2/19",07:00:00,"Vehicle overturned (no collision)","Tuesday","Day",1,1,"Not at intersection",3,100,"A",2004,"TRAY","TOYOTA","Utility","M",35,"30-39","Drivers"
"T20190003726","25/2/19",13:50:00,"Collision with vehicle","Monday","Day",3,3,"T intersection",3,60,"A",2004,"SEDAN","HONDA","Car","M",22,"22-25","Drivers"
"T20190003726","25/2/19",13:50:00,"Collision with vehicle","Monday","Day",3,3,"T intersection",3,60,"B",2009,"TRAY","TOYOTA","Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM","M",23,"22-25","Drivers"
"T20190003726","25/2/19",13:50:00,"Collision with vehicle","Monday","Day",3,3,"T intersection",3,60,"C",1997,"SEDAN","SUZUKI","Car","M",53,"50-59","Drivers"
"T20190003728","26/2/19",09:45:00,"Collision with vehicle","Tuesday","Day",2,2,"T intersection",3,80,"A",2007,"SEDAN","SUZUKI","Car","F",77,"70+","Drivers"
"T20190003728","26/2/19",09:45:00,"Collision with vehicle","Tuesday","Day",2,2,"T intersection",3,80,"B",2005,"SED","UNKN","Car","M",47,"40-49","Drivers"
"T20190003732","26/2/19",08:52:00,"Struck Pedestrian","Tuesday","Day",1,2,"T intersection",3,40,"A",2014,"SEDAN","MAZDA","Car","F",36,"30-39","Drivers"
"T20190003736","26/2/19",12:30:00,"Collision with vehicle","Tuesday","Day",2,3,"Not at intersection",2,60,"A",2008,"WAGON","TOYOTA","Station Wagon","M",75,"70+","Drivers"
"T20190003736","26/2/19",12:30:00,"Collision with vehicle","Tuesday","Day",2,3,"Not at intersection",2,60,"C",2018,"DC UTE","FORD","Utility","M",57,"50-59","Drivers"
"T20190003737","26/2/19",11:52:00,"Struck Pedestrian","Tuesday","Day",1,2,"T intersection",1,60,"A",2003,"COUPE","VOLKS","Car","F",80,"70+","Drivers"
"T20190003738","26/2/19",10:15:00,"Collision with vehicle","Tuesday","Day",2,3,"Not at intersection",2,60,"B",2008,"UTIL","FORD","Utility","M",26,"26-29","Drivers"
