"ACCIDENT_NO","ACCIDENTDATE","ACCIDENTTIME","Accident Type Desc","Day Week Description","Light Condition Desc","NO_OF_VEHICLES","NO_PERSONS","Road Geometry Desc","SEVERITY","SPEED_ZONE","LGA_NAME","REGION_NAME","Lat","Long","Surface Cond Desc","Atmosph Cond Desc"
"T20190000071","1/1/19",23:00:00,"Collision with a fixed object","Tuesday","Dark Street lights on",1,1,"Not at intersection",2,100,"MOONEE VALLEY","METROPOLITAN NORTH WEST REGION",-37.73396965,144.9090798,"Dry","Clear"
"T20190000072","2/1/19",00:05:00,"Collision with vehicle","Wednesday","Dark Street lights on",2,3,"Cross intersection",3,80,"HUME","METROPOLITAN NORTH WEST REGION",-37.64382408,144.9288909,"Dry","Clear"
"T20190000074","2/1/19",01:45:00,"Collision with vehicle","Wednesday","Dark Street lights on",2,2,"T intersection",3,70,"MONASH","METROPOLITAN SOUTH EAST REGION",-37.89069838,145.1638654,"Dry","Clear"
"T20190000075","2/1/19",00:49:00,"Struck Pedestrian","Wednesday","Dark Street lights on",1,2,"T intersection",2,50,"WHITTLESEA","METROPOLITAN NORTH WEST REGION",-37.63481886,145.0148743,"Dry","Clear"
"T20190000076","2/1/19",04:40:00,"Collision with vehicle","Wednesday","Dark Street lights on",2,3,"Not at intersection",3,50,"DANDENONG","METROPOLITAN SOUTH EAST REGION",-37.95819052,145.1701001,"Dry","Clear"
"T20190000078","2/1/19",05:25:00,"Collision with vehicle","Wednesday","Dusk/Dawn",2,2,"Cross intersection",3,40,"WYNDHAM","METROPOLITAN NORTH WEST REGION",-37.8608752,144.6670219,"Dry","Clear"
"T20190000079","2/1/19",07:43:00,"Collision with vehicle","Wednesday","Day",2,2,"Cross intersection",3,50,"GEELONG","SOUTH WESTERN REGION",-38.13392261,144.3411119,"Dry","Clear"
"T20190000080","1/1/19",20:15:00,"Collision with a fixed object","Tuesday","Day",1,1,"Not at intersection",3,50,"LATROBE","EASTERN REGION",-38.18937957,146.5659367,"Dry","Clear"
"T20190000081","1/1/19",22:31:00,"Struck Pedestrian","Tuesday","Dark Street lights on",1,2,"Not at intersection",3,60,"EAST GIPPSLAND","EASTERN REGION",-37.87490186,148.0074731,"Dry","Clear"
"T20190000084","2/1/19",11:25:00,"Fall from or in moving vehicle","Wednesday","Day",1,2,"Not at intersection",3,50,"CAMPASPE","NORTHERN REGION",-36.12415553,144.7497487,"Dry","Clear"
"T20190000085","2/1/19",06:37:00,"Struck Pedestrian","Wednesday","Day",1,2,"Cross intersection",2,999,"STONNINGTON","METROPOLITAN SOUTH EAST REGION",-37.85330739,145.0524465,"Dry","Not known"
"T20190000092","2/1/19",02:52:00,"Collision with vehicle","Wednesday","Dark Street lights on",2,4,"Cross intersection",2,70,"WHITTLESEA","METROPOLITAN NORTH WEST REGION",-37.69597577,145.0223208,"Dry","Fog"
"T20190000094","2/1/19",13:12:00,"Collision with a fixed object","Wednesday","Day",1,1,"T intersection",2,60,"MONASH","METROPOLITAN SOUTH EAST REGION",-37.85809318,145.1362202,"Dry","Clear"
"T20190000095","2/1/19",13:25:00,"Collision with vehicle","Wednesday","Day",4,4,"Cross intersection",3,80,"BANYULE","METROPOLITAN NORTH WEST REGION",-37.70322901,145.0897969,"Dry","Clear"
"T20190000099","2/1/19",15:00:00,"Struck Pedestrian","Wednesday","Day",1,2,"Cross intersection",3,40,"MELBOURNE","METROPOLITAN NORTH WEST REGION",-37.8117548,144.9564464,"Dry","Clear"
"T20190000100","2/1/19",14:18:00,"Collision with vehicle","Wednesday","Day",2,2,"T intersection",3,50,"MOONEE VALLEY","METROPOLITAN NORTH WEST REGION",-37.74934345,144.9182307,"Dry","Clear"
"T20190000107","2/1/19",10:30:00,"Vehicle overturned (no collision)","Wednesday","Day",1,2,"Not at intersection",2,100,"GLENELG","SOUTH WESTERN REGION",-38.15476018,141.2753592,"Dry","Clear"
"T20190000108","2/1/19",14:35:00,"Collision with vehicle","Wednesday","Day",2,3,"T intersection",3,100,"WELLINGTON","EASTERN REGION",-38.10201591,146.8639468,"Dry","Clear"
"T20190000109","2/1/19",17:20:00,"No collision and no object struck","Wednesday","Day",1,1,"Not at intersection",3,40,"ALPINE","NORTH EASTERN REGION",-36.92992217,147.0632222,"Dry","Clear"
"T20190000112","2/1/19",20:10:00,"Struck Pedestrian","Wednesday","Day",1,2,"T intersection",2,60,"FRANKSTON","METROPOLITAN SOUTH EAST REGION",-38.14533717,145.1201354,"Dry","Clear"
"T20190000119","2/1/19",19:42:00,"Collision with vehicle","Wednesday","Day",3,7,"Cross intersection",2,60,"DAREBIN","METROPOLITAN NORTH WEST REGION",-37.75857288,145.0215576,"Dry","Clear"
"T20190000125","2/1/19",13:00:00,"Collision with vehicle","Wednesday","Day",2,2,"Not at intersection",3,50,"GEELONG","SOUTH WESTERN REGION",-38.16132006,144.5608105,"Dry","Clear"
"T20190000126","2/1/19",18:02:00,"Struck Pedestrian","Wednesday","Day",1,3,"Not at intersection",2,30,"WHITTLESEA","METROPOLITAN NORTH WEST REGION",-37.6459457,145.0404307,"Dry","Clear"
"T20190000130","3/1/19",10:40:00,"Collision with vehicle","Thursday","Day",3,4,"Not at intersection",3,80,"KINGSTON","METROPOLITAN SOUTH EAST REGION",-38.00755976,145.1413579,"Dry","Clear"
"T20190000134","3/1/19",10:20:00,"Collision with a fixed object","Thursday","Day",1,1,"Not at intersection",2,80,"ALPINE","NORTH EASTERN REGION",-36.75556355,147.1993366,"Dry","Clear"
"T20190000136","3/1/19",12:25:00,"Collision with vehicle","Thursday","Day",2,2,"Not at intersection",3,80,"WYNDHAM","METROPOLITAN NORTH WEST REGION",-37.91563521,144.6882155,"Dry","Clear"
"T20190000139","2/1/19",12:10:00,"Vehicle overturned (no collision)","Wednesday","Day",1,1,"Not at intersection",2,100,"YARRA RANGES","METROPOLITAN SOUTH EAST REGION",-37.5451034,145.8479957,"Dry","Clear"
"T20190000146","3/1/19",14:10:00,"collision with some other object","Thursday","Day",1,1,"Not at intersection",2,100,"TOWONG","NORTH EASTERN REGION",-36.17170886,147.5762808,"Dry","Not known"
"T20190000148","3/1/19",17:45:00,"Collision with vehicle","Thursday","Day",2,2,"Not at intersection",3,50,"CARDINIA","METROPOLITAN SOUTH EAST REGION",-38.06052873,145.5020497,"Dry","Clear"
"T20190000150","3/1/19",16:10:00,"Collision with vehicle","Thursday","Day",2,2,"Not at intersection",3,60,"KINGSTON","METROPOLITAN SOUTH EAST REGION",-37.95333988,145.0627233,"Dry","Clear"
"T20190000151","3/1/19",17:57:00,"Collision with a fixed object","Thursday","Day",1,1,"Cross intersection",3,60,"CASEY","METROPOLITAN SOUTH EAST REGION",-38.04412702,145.3313131,"Dry","Clear"
"T20190000152","3/1/19",19:31:00,"No collision and no object struck","Thursday","Day",1,1,"Not at intersection",3,40,"BOROONDARA","METROPOLITAN SOUTH EAST REGION",-37.80715184,145.0298211,"Dry","Clear"
"T20190000158","3/1/19",16:45:00,"Collision with vehicle","Thursday","Day",2,3,"T intersection",3,80,"WELLINGTON","EASTERN REGION",-38.15360294,147.0829335,"Dry","Clear"
"T20190000159","3/1/19",18:50:00,"Collision with a fixed object","Thursday","Day",1,2,"T intersection",3,100,"SOUTH GIPPSLAND","EASTERN REGION",-38.51781433,146.1781449,"Dry","Clear"
"T20190000161","3/1/19",18:30:00,"Collision with vehicle","Thursday","Day",2,4,"Cross intersection",3,80,"MAROONDAH","METROPOLITAN SOUTH EAST REGION",-37.82616703,145.2875816,"Unknown","Clear"
"T20190000167","3/1/19",20:50:00,"Collision with vehicle","Thursday","Dusk/Dawn",2,3,"T intersection",2,60,"MELTON","METROPOLITAN NORTH WEST REGION",-37.67600104,144.5611694,"Dry","Clear"
"T20190000170","4/1/19",02:10:00,"Collision with a fixed object","Friday","Dark No street lights",1,2,"Not at intersection",3,100,"ARARAT","WESTERN REGION",-37.30957925,143.0148605,"Dry","Clear"
"T20190000178","3/1/19",22:00:00,"No collision and no object struck","Thursday","Dark Street lights on",1,1,"Not at intersection",3,60,"ALPINE","NORTH EASTERN REGION",-36.72829122,146.9677993,"Dry","Clear"
"T20190000181","4/1/19",11:15:00,"Collision with vehicle","Friday","Day",2,2,"Not at intersection",3,777,"MITCHELL","NORTHERN REGION",-37.40881017,144.9799729,"Dry","Not known"
"T20190000182","4/1/19",10:00:00,"Collision with vehicle","Friday","Day",2,2,"T intersection",3,70,"HORSHAM","WESTERN REGION",-36.73351383,142.2054085,"Dry","Clear"
"T20190000185","4/1/19",13:00:00,"Struck Pedestrian","Friday","Day",1,2,"Cross intersection",3,60,"WHITEHORSE","METROPOLITAN SOUTH EAST REGION",-37.81630593,145.1936647,"Dry","Clear"
"T20190000190","4/1/19",12:30:00,"Collision with vehicle","Friday","Day",5,8,"Cross intersection",2,80,"FRANKSTON","METROPOLITAN SOUTH EAST REGION",-38.15531446,145.1810241,"Dry","Clear"
"T20190000191","4/1/19",10:00:00,"Struck Pedestrian","Friday","Day",1,3,"T intersection",3,60,"NILLUMBIK","METROPOLITAN NORTH WEST REGION",-37.67423724,145.1590609,"Dry","Clear"
"T20190000197","4/1/19",15:04:00,"Collision with vehicle","Friday","Day",2,4,"Not at intersection",2,60,"MARIBYRNONG","METROPOLITAN NORTH WEST REGION",-37.77334956,144.8860465,"Dry","Clear"
"T20190000199","4/1/19",12:30:00,"Collision with a fixed object","Friday","Day",1,1,"Not at intersection",3,60,"MARIBYRNONG","METROPOLITAN NORTH WEST REGION",-37.80800999,144.8611699,"Dry","Clear"
"T20190000203","4/1/19",15:09:00,"Collision with vehicle","Friday","Day",2,2,"Cross intersection",3,50,"SWAN HILL","NORTHERN REGION",-34.5866289,142.7765092,"Dry","Clear"
"T20190000204","4/1/19",14:00:00,"Vehicle overturned (no collision)","Friday","Day",1,1,"Not at intersection",2,75,"BRIMBANK","METROPOLITAN NORTH WEST REGION",-37.7986802,144.7709125,"Dry","Clear"
"T20190000206","4/1/19",15:44:00,"Collision with vehicle","Friday","Day",2,2,"T intersection",3,60,"MELBOURNE","METROPOLITAN NORTH WEST REGION",-37.82184704,144.9521898,"Dry","Clear"
"T20190000209","4/1/19",18:30:00,"Collision with vehicle","Friday","Day",2,2,"Cross intersection",3,60,"MELBOURNE","METROPOLITAN NORTH WEST REGION",-37.79454281,144.9310633,"Dry","Clear"
"T20190000211","4/1/19",17:31:00,"Collision with vehicle","Friday","Day",5,5,"Cross intersection",3,80,"DANDENONG","METROPOLITAN SOUTH EAST REGION",-37.98361235,145.145911,"Dry","Clear"
"T20190000213","4/1/19",07:00:00,"Collision with vehicle","Friday","Day",2,3,"T intersection",3,60,"MORELAND","METROPOLITAN NORTH WEST REGION",-37.69485956,144.9251864,"Dry","Clear"
"T20190000215","4/1/19",18:42:00,"Collision with a fixed object","Friday","Day",1,1,"Not at intersection",3,100,"LODDON","NORTHERN REGION",-36.57083006,144.0883999,"Dry","Clear"
"T20190000215","4/1/19",18:42:00,"Collision with a fixed object","Friday","Day",1,1,"Not at intersection",3,100,"LODDON","NORTHERN REGION",-36.57083006,144.0883999,"Dry","Strong winds"
"T20190000217","4/1/19",19:30:00,"Collision with a fixed object","Friday","Day",1,3,"Not at intersection",3,100,"SOUTH GIPPSLAND","EASTERN REGION",-38.36922052,145.8438031,"Wet","Clear"
"T20190000219","4/1/19",19:40:00,"Collision with a fixed object","Friday","Day",1,1,"T intersection",3,60,"GEELONG","SOUTH WESTERN REGION",-38.05544585,144.3790186,"Dry","Clear"
"T20190000222","4/1/19",20:53:00,"Collision with a fixed object","Friday","Dark Street lights on",2,6,"Cross intersection",2,80,"MORNINGTON PENINSULA","METROPOLITAN SOUTH EAST REGION",-38.238575,145.189242,"Dry","Clear"
"T20190000223","5/1/19",03:19:00,"Collision with vehicle","Saturday","Dark Street lights on",2,4,"T intersection",3,40,"WODONGA","NORTH EASTERN REGION",-36.12603954,146.8896998,"Dry","Clear"
"T20190000224","5/1/19",03:40:00,"Collision with a fixed object","Saturday","Dark No street lights",1,2,"T intersection",3,60,"YARRA RANGES","METROPOLITAN SOUTH EAST REGION",-37.81990472,145.3641389,"Dry","Clear"
